ich i
blutgefäßen vasculature
freilege dissecting
abzweigungen arborizations
verständlicherweise understandably
benutzbare multiple-use
farbkodierte color-coded
rosa-graues pinkish-gray
menschengemachten human-designed
alge swims
proteinproduktion protein-making
vorklinisch pre-clinical
hochdurchsatz-screening high-throughput
lichtaktivierung photoactivating
kanalrhodopsin channelrhodopsin
dynamisches dynamical
ausgangszustand coaxed
tiefenhirnstimulatoren deep-brain
adeno-assoziierte adeno-associated
photorezeptorzellen photoreceptor
neurotechnologie neurotechnology
gehirn-koprozessor coprocessors
befindlichen airborne
funktionsfähig operable
ordinationsdiagramm ordination
abwerfen shedding
probiotischen probiotic
entstehungen emergences
nabelschau navel
benutzte bursty
tonalität telegenic
verlinkte well-linked
gemeindemitglied congregant
einflussreichste century's
vorführte screenings
filmarchiv annals
kontextualisiert contextualized
vorführer projectionist
slumbewohner slum-dwellers
fliegenden skyward
besen brooms
doppelzüngigkeit double-dealing
nicht-weißen non-white
schimpften railed
eigensinnigen opinionated
dokumentarfilme subtitled
nicht-narrativ non-narrative
puristen purists
erhöhtes heightened
ehemals once-reluctant
imporvisiert extemporaneous
vormachtstellung dominion
quecksilbervergiftung toxification
sauberhaltung scuttled
montierten luggage
nitrifikation nitrification
überflügeln outperforming
abgeben childrens
west-neuguinea irian
fortpflanzt self-replicates
zweideutiger assigning
betriebssystems planetary's
stoffwechselarten metabolisms
geburtschäden mutagenic
seither databased
tragen wear
aufbereitet purifies
keilschwanzregenpfeifer killdeer
ökologisch green-minded
einzubauen boggles
dementiert denies
cloud-dienstleistungen u.s.-made
hirnbereichs towards
körperzellen neuronal
stützzellen astrocytes
durchzuführen undertake
gerichtsmedizin examiner's
toxikologische toxicology
hauptverknüpfungen cabling
datenmenge brains-worth
gesamt-genom-assoziationsstudien genome-wide
näherung cutoff
unerschrocken undaunted
impfung immunization
ausgegeben gavi
dorfkliniken subcenters
randomisierung randomization
ermäßigung discounts
kutscher horseman
feineinstellen fine-tuning
entwurmt dewormed
abwägender deliberative
sandstürmen sandstorm
voraussagte greatness
genauer unpacking
makrofaktoren macro-factors
schlagzeile headline
herausforderungen challenges
basierten singaporean-based
treue loyalties
überhang overhang
leitsignale bellwethers
taucht immerses
schwartzbergs schwartzberg's
zeitraffer-fotografie benedictine
benediktinermönches steindl-rast
feuerlöschern extinguishers
günstigsten bidder
beschwört conjures
beschwor conjured
fußbälle footballs
gehirnmagie brain
gedankenlese-effekten mind-reading
verschränken interlace
strecken extend
zielen point
abwärtsgeste downward
psychokinesee psychokinesis
holzsplinte plinths
existentialistischen existentialist
zerbombt carpet-bombed
schimpfenden abusive
pannen glitches
säbelzahntiger" saber-toothed
überbringen bearer
erwiderte countered
nicht-pharmakologische non-pharmacologic
kassenraum cashier's
mietwagen vauxhall
bräutigams groom's
neuroökonom neuroeconomist
["schulen ["schools
überholt"] obsolete"]
ermutigung encouragement
fürs saluting
kurzwellenradios shortwave
bespricht discusses
nicht-nur-für-science-fiction not-just-for-sci-fi
unveränderlichen unalterable
beaufsichtigte oversaw
beispiele instances
sportlichen settler
ältestem eldest
mehrgenerationen-stammbaum multi-generational
fehlen absences
rücklings rescinded
fußnoten-tafel accompanies
enthauptungen decapitation
eingelassen installed
brasiliens brazil's
gewalttätigsten nation's
monaten 12-month
listete orphanage's
zahnarztbohrer dentist's
maschinenartig machine-like
generationenumspannenden generation-spanning
wangenknochen cheekbones
raschelt rustling
sanftesten softest
klängen participators
regen rain
drehte turned
experimentierte experimented
gepäck baggage
sorgenvoll sorrowful
aufgekratzt exhilarated
fortschreitet progresses
halb-untergrund-einfluss semi-underground
schmerzliche pained
wiederverbindung reconnection
naturkatastrophe ecospace
wühlende burrowing
vogelähnlich bird-like
raubvögel raptors
nachgebildeten pterosaur
fünfundsechzig sixty-five
isometrisch isometrically
neolithischer neolithic
legionen legions
konservatorium part-zoo
laufen running
goldmedaillengewinnerin medalist
außen-außenseiterin under-underdog
42-kilometer-rennen 26-mile
gewandtheit nimbleness
kurzstreckenläuferinnen sprinters
60jährige 64-year-old
65jährigen 65-year-olds
fersensporn plantar
bemerkenswert curious
versiegendem youthfulness
mann-gegen-mann hand-to-hand
laufschuhe stinking
nacktheit nakedness
sympathisch likable
widergespiegelt mirroring
spieletechnologie distance-play
enkelsöhnen grandsons
potenzielles indicative
überschneidenden blended-reality
lache smilin'
körbe hoops
gesprochenen spoken-word
psychoanalysieren stanislavski
abtreibungsbabies potter's
golfballsuchenden go-for-this
pornografische pornographic
massenvoyeurismus voyeurism
mischlingskind mixed-race
massenbombardierung bombardment
anregende titillating
schmutzigen publicizing
boulevardzeitungen broadsheets
handwerkliche crafting
ausschnitte stills
beschlagen steamed
verkehrshindernis stopper
themenorientiert topically
gesundheitsetat health-care
nichtübertragbare non-communicable
gesundsheitsversorgung indices
wunderbarer equalizer
indirekt indirectly
jamaikaner jamaicans
veralteten obsolescence
auszubildenden trainees
wahlfachs elective
echokardiographie echocardiography
hervorgetan excelled
bockig balk
kirchturmspitze" steeple
rinderzuchtanlagen cattle-handling
kontrollperson control's
spielart thinker's
sinnesgesteuerter sensory-based
hufschmied horseshoer
rinder cattle
vielfliegerin million-mile
abstürzen wrecks
spinnerin goofball
treibstöcken prodder
aufgeschlossenheit inclusiveness
tut terribly
technik-magie techno-magic
wirbelnden eddies
entsalzungsanlage desalinization
wogt raged
süßer sweeter
machenschaften machinations
luftröhrenschnitt tracheotomy
vierundsechzig sixty-four
pechschwarzer pitch-black
160km-schwimmen 100-mile
9-jährige 9-year-old
schottin scot
nachschlag neverseconds
einhellig unanimous
nachrichten-industrie globalize
weltfrieden world
kanonische canonical
unterabschnitte sub-section
bezeichner identifier
unfälschbar unforgeably
abhängigkeitsbezogen dependency-related
lieblingsbenutzung cablegate
fluidität fluidity
entwickeltes citizen-developed
programmierer programmers
kamera camera
untertassenförmige saucer-looking
raumsonde hurtling
ausstellungsstücken far-out
raketenantrieben propulsively
prä-biotischer pre-biotic
benzinpreise four-dollar
fächerübergreifender exponentially-growing
rechnerkapazität bio-informatics
siebentägige seven-day
biomedizin biomedicine
platzwunde laceration
hämatologe hematologist
günstiger effectivity
kalorienverbrauch outtake
drahtlosen diaper
superchirurgen super-enabling
narbenfreien scarless
gehirn-computer-schnittstelle brain-computer
überfähig superability
mikrorboter micro-robots
künstliche artificial
kosteten thousand-dollar
geomedizin geomedicine
myozyten myocytes
ungepflastert unpaved
heranschlich stalked
unausgesprochene unspoken
pinkeln rugs
angsterfüllt fearfully
zuschlug slamming
feuerfalle fire-trap
grau-gelbes gray-yellow
heiser hoarse
schätzchen darlings
mucksmäuschenstill stock-still
wandlungen allure
verlocken transfigurations
ungehobeltheit coarseness
durchkreuzungen counterings
ungeklärte unaccounted-for
nimmt taking
errötete blushes
gestreift grazed
fehlzündung backfire
bockendes bucking
prächtigen stallion
glänzend resplendent
angehaltener innards
musterten scrutinized
verstohlen furtive
kühn boldly
unverwandt unblinkingly
kampflustig pugnaciously
unterdrückter repressed
brodeln seethe
freisprechen self-absolving
erfüllte righteousness
abdankung abdication
auslöschung effacement
betroffenheit consternation
lässt herself
schmückte graced
eigenem volition
unverschmutzten unsmudged
nippel nipple
einsetzenden incipient
obsessionen obsessions
unzüchtig licentious
körperliches carnal
vorkriegspolen pre-war
gequälten tormented
gestorben died
liebenswürdigkeit loveliness
hingeschlachtet contrition
verrücktheiten follies
eingeschmierten plumped
raubt catches
verführerin seductress
verzweifeltes incarnates
feindseligkeiten resentments
ausgeschlafen bright-eyed
verwunderlich unsurprisingly
vierzehntausend five-and-a-half
guckte mum's
reinhold messner
abgesägten sawn-off
wiegenden sub-two-gram
ernährungsspezialisten nutritionists
beseelten vodka-fueled
achselhöhle armpit
handgestrickten hand-knitted
zusammenzufassen summing
antarktis antarctica
erstrebenswertes impetus
arktik-abenteurer arctic
gesehenem never-before-seen
ausbleichen whiten
walboote whaleboats
wesentlichste navigational
rollschuhe skates
neurologen neuroscientists
geschichtenerzählen insightful
vorstellungskräfte imaginations
versehentliches unintentional
ablegten dismissing
kühle coolness
gezügelt reader's
wahrsten truest
stimmlosen voiceless
freiwilig voluntarily
erektionen erections
heroinabhängigen smackheads
stumpfer blunter
entscheidungsträgers maker's
lustigerweise funnily
übergriffigen transgressive
gesundheitswesen-fanatiker public-health
prügel licking
soße gravy
mignight decoder
hölzernem wood-bodied
bodysurfen bodysurfing
volksmusikant folk
unterhaltungs amaze
neo-darwinismus neo-darwinism
relationalismus relationalism
abzuzweigen intersperse
erzielt sabbaticals
finanziell financially
musikzentrum koolhaas-built
colorierten colored
reifegraden ripenesses
überbordende lavishing
ritualisiert ritualizes
torajanischen torajan
abspulen unspool
geräucherten haddock
scheine smudged
herausfordert inspires
stille" idleness
schottische scottish
beruft convenes
schädelkamm crests
entenschnabel-saurier duck-billed
saurierschädel dinosaur's
mutmaßen hypothesize
nachrichtensendungen newscasters
entenschnabelsaurier duck-bill
spezialeffekt-maschine special-effects
schlafwandeln sleepwalk
neuenburger neuchatel
übersättigung over-saturation
hochdruck-ventilen nozzles
zentralcomputer calibrates
halb-künstliches semi-artificial
eigenschaftslos featureless
zerstreut dispersed
gedämpfter attenuated
abfuhr cruised
choreographiert choreographed
auskragung 80-foot
renovierungen renovations
präsent exhibitionistic
kammer chamber
absorbierende absorptive
inszenierung theatrics
umgestaltete revamped
redaktionen newsrooms
unbekümmertes easygoing
sensationsmache sensationalize
dreiteilige three-part
zeitschrift wired
augen eyes
sinnliches voluptuous
chefredakteur editor
schalteten pundits
empfehlen suggest
einhalten air-quality
abbaut removes
schulterhohe shoulder-high
saubererer cleaner-air
hüfthohe waist-high
gewöhnlicher houseplants
instruktionen instructed
irritierend irritating
sichtweise assess
fragestunde paley
kurzzufassen succinct
massen crowds
überdimensionale bombast
faktivist factivist
erdrückender back-breaking
zermürbender soul-crushing
ergreifend heart-stopping
daten-freunde number-crunchers
datensammlung collating
unerträglichen insufferable
jesus-verschnitt jumped-up
kürzungen [can
tageslicht daylight
ausreichenden turbocharging
unterwürfigen supplicant
faktenbasierten data-based
faktivismus factivism
faktivisten factivists
hochgefahren booted
zweiflügeligen two-wing
vierflügelige four-wing
zellen-orientiert cell-oriented
computer-generierte computer-fabricated
gewundenes double-stranded
rasterkraftmikroskopie atomic-force
nano-ziegenbart nano-goatee
computerunterstützte computer-aided
demultiplexer-schaltkreise demultiplexer
umbauen refashion
selbstmontierte self-assembled
fehlschlägen diminishes
ausgestiegen capitalistic
querfinanzierungsmodell cross-subsidy
eigenständigen self-sustainable
heimtückischer dastardly
selbsthilfegruppen group-based
bestechung bribes
glücklosen hapless
beengende constraining
mit-dem-rücken-zur-wand-situation back-to-the-wall
hasufriedensbruch alleging
identitätsraub impersonation
dazugehörigen underly
heranziehen transcript
schließfächer lockers
berufs regulars
unaufhörlicher reoccurring
männlichtkeit masculinity
tugend virtue
hausmeisters janitor
arzneischränke restock
bodenwischen mopping
aufenthaltsraum visitor's
übermäßigen over-reliance
rauben deprives
skripte scripts
erstaunlicherweise astonishingly
amtseinführung inaugurated
aufforstung re-foresting
aufpolierte polished
amateurfilme cruddy
liebenswürdiger gracious
neidisch envious
schlagwörter meme-maker
juckenden itchy
engagierte pornographer
bestzeit houdini's
isolierband duct-taped
leiteten oxygenating
freitauchens free-diving
sauerstoffvorrat depletes
purgieren purge
hyperventilieren hyperventilating
befreist ridding
grobknochig big-boned
umlegen handcuffs
exfreundin ex-girlfriend
hochkam blacked
blut-shunten shunting
zurückzieht extremities
kino-qualität cinema-quality
aurasma-anwendung aurasma
live-nachrichten overlaying
unwissend unwittingly
touristen tourists
vollbracht foreknowledge
affenpocken pox
arbeiterstadt tatanagar
hustete coughed
wissenschafltichen biotechnological
gezüchtete intentionally-designed
biotechnologische biotechnologically
geplante genetically-engineered
bearbeiteter chinook
haflinger-pferd haflinger
somatische somatic
darpa-projekte darpa's
vorab prewired
fliegen-roboter bugbots
meinte talwar's
selbständig self-aggregating
agierendes lamprey
durchgeführter bio-engineering
naturforschern naturalists
auffälligste conspicuous
hautpigmentierungen pigmentations
uv-strahlung high-uv
katalysiert catalyzes
menschenstämme dispersing
leicht lightly
breitengrade transgressions
uv-schwachen low-uv
epidemiologen epidemiologists
mischbevölkerungen admixed
